city,address,postalCode,latitude,longitude,features,hasArtwork,storeName,storeNumber,closeTime,openTime
绍兴市,诸暨市暨阳路7号None诸暨第一百货,312000,29.716789,120.237998,"['OG', 'DL']",False,绍兴诸暨一百店,24230-236427,22:30:00,08:00:00
绍兴市,浙江省绍兴市None诸暨市高湖东路69号一层1032商铺,312000,29.717727,120.279524,"['OG', 'DL', 'PO']",False,绍兴诸暨万达广场店,51626-278610,22:30:00,08:00:00
绍兴市,浙江省绍兴市None诸暨市西施大街77号一层01-14单元,312000,29.711192,120.236789,"['OG', 'DL', 'MIC', 'NCB', 'PO']",False,绍兴诸暨印象城店,51617-278608,22:30:00,08:00:00
嘉兴市,秀洲区None王店镇建农村（沪杭高速嘉兴服务区北区）,314000,30.62191,120.676407,['OG'],False,G60嘉兴服务北区店,24344-236994,21:00:00,07:00:00
嘉兴市,秀洲区None王店镇建农村（沪杭高速嘉兴服务区南区）,314000,30.621311,120.678619,"['OG', 'MIC']",False,G60嘉兴服务南区店,24345-236993,21:30:00,07:00:00
绍兴市,环东中路和八达旺路交叉口,312000,29.706002,120.240877,"['OG', 'DL', 'MIC']",False,绍兴诸暨缤谷唐韵店,59492-293749,22:30:00,08:00:00
绍兴市,苎萝东路555号,312000,29.700567,120.265675,"['OG', 'DL', 'MIC']",False,绍兴诸暨雄风新天地店,22103-217404,23:00:00,07:30:00
湖州市,浙江省湖州市第一层 F101单元吴兴区吴兴大道2668号,313000,30.854934,120.232855,"['OG', 'DL', 'PO']",False,湖州汇德广场店,56984-290920,23:00:00,08:00:00
湖州市,浙江省湖州市None吴兴区大升路899号一层1052单元,313000,30.860045,120.14165,"['OG', 'DL', 'PO']",False,湖州万达广场店,49162-267307,22:00:00,07:30:00
湖州市,浙江省湖州市None吴兴区勤劳街181号5单元,313000,30.863576,120.094968,"['OG', 'DL']",False,湖州状元街店,48306-262945,22:00:00,07:30:00
湖州市,吴兴区新华路658号,313000,30.866559,120.12245,"['OG', 'DL', 'MIC', 'PO']",False,湖州梅地亚广场店,25100-239784,22:00:00,07:00:00
湖州市,浙江省湖州市None吴兴区南街558-590号一层FY03单元,313000,30.865805,120.09974,"['OG', 'DL', 'PO']",False,湖州银泰百货店,51753-279028,22:00:00,07:30:00
湖州市,湖州爱山广场湖州市人民路85号,313000,30.867349,120.102754,"['OG', 'DL']",False,湖州爱山广场店,20141-203484,22:00:00,07:00:00
湖州市,吴兴区湖州浙北中心湖州市公园路168号（公园路与南街交叉口）,313000,30.868018,120.099018,"['OG', 'DL']",False,湖州浙北中心店,19335-200704,22:00:00,07:30:00
湖州市,浙江省湖州市None吴兴区南街933号一层9单元,313000,30.871116,120.098794,"['OG', 'DL', 'PO']",False,湖州大都汇店,48585-262947,22:00:00,07:30:00
湖州市,吴兴区None东吴国际龙玺公馆湖州银泰城1-13,313000,30.873725,120.09887,"['OG', 'DL', 'MIC', 'NCB', 'PO', 'SBB']",False,湖州银泰城店,22662-223304,22:00:00,07:30:00
湖州市,吴兴区湖州凤凰时代广场滨河路666号E1127，E2153室,313000,30.873425,120.092797,"['OG', 'DL']",False,湖州凤凰时代广场店,24228-236229,22:00:00,07:00:00
杭州市,浙江省杭州市桐庐利时广场1楼109室桐庐县迎春南路666号,310000,29.799126,119.686084,"['OG', 'MIC', 'PO']",False,杭州桐庐利时广场店,29884-255571,23:00:00,07:30:00
杭州市,迎春南路281号,310000,29.791611,119.692087,"['OG', 'MIC', 'NCB']",False,杭州桐庐立山国际店,25553-241365,22:00:00,07:30:00
湖州市,浙江省湖州市None南浔区人瑞路9999号一层103单元,313000,30.864219,120.409055,"['OG', 'DL', 'MIC', 'PO']",False,湖州南浔浙北店,29031-252128,22:00:00,07:00:00
绍兴市,浙江省绍兴市None上虞区称山北路399号一层1033号商铺,312000,30.052672,120.851087,"['OG', 'DL', 'MIC', 'PO']",False,绍兴上虞万达广场店,49058-266869,22:00:00,08:00:00
嘉兴市,浙江省嘉兴市None秀洲区中山西路1911号147室,314000,30.756364,120.686734,"['OG', 'DL', 'PO']",False,嘉兴中关村店,26750-245227,22:00:00,07:00:00
绍兴市,上虞区大通购物中心市民大道689号1F32,312000,30.032719,120.872447,"['OG', 'DL', 'MIC', 'PO']",False,绍兴上虞大通市民大道店,14933-156387,22:00:00,07:00:00
绍兴市,上虞区上百万和城市民大道688号,312000,30.031969,120.875357,"['OG', 'DL']",False,绍兴上虞万和城店,24753-238019,22:00:00,07:30:00
绍兴市,人民中路193号,312000,30.017185,120.878555,"['OG', 'DL']",False,绍兴上虞大通人民路店,23989-234328,22:00:00,08:00:00
嘉兴市,浙江省嘉兴市None经济技术开发区城南路1532号华府银泰广场地上1F-002室,314000,30.731434,120.73549,"['OG', 'DL', 'PO']",False,嘉兴YINTAI店,56985-290919,22:00:00,07:30:00
嘉兴市,浙江省嘉兴市None秀洲区龙凤路319号一层1050单元,314000,30.751803,120.717553,"['OG', 'DL', 'PO']",False,嘉兴龙鼎万达广场店,55004-288794,22:00:00,07:00:00
嘉兴市,秀洲区江南摩尔洪兴西路1732号,314000,30.76351,120.709949,"['OG', 'DL', 'MIC', 'NCB']",False,嘉兴江南摩尔店,31325-103087,22:00:00,07:00:00
嘉兴市,浙江省嘉兴市None南湖区越秀南路968号一层L1010商铺,314000,30.758363,120.733028,"['OG', 'DL', 'MIC', 'RC']",False,嘉兴八佰伴店,27045-245044,23:00:00,07:30:00
苏州市,江苏省苏州市None吴江区震泽镇塔影路36号1层的103单元,215000,30.903574,120.51535,"['OG', 'DL', 'PO']",False,苏州震泽新乐城店,49708-270948,22:00:00,08:00:00
嘉兴市,浙江省嘉兴市None经济开发区中环西路1943号和1947号,314000,30.775355,120.725995,"['OG', 'DL']",False,嘉兴杉杉IN象店,54119-286375,22:00:00,07:30:00
嘉兴市,南湖区嘉兴旭辉广场中山东路666号S1F-23、24,314000,30.761183,120.745852,"['OG', 'DL', 'MIC']",False,嘉兴旭辉广场店,18793-194006,22:30:00,07:30:00
嘉兴市,嘉兴市巴黎都市凯旋门商场1幢商铺1号,314000,30.743212,120.778228,"['OG', 'DL', 'MIC', 'PO']",False,嘉兴巴黎都市店,59079-293255,22:00:00,07:30:00
